employee_id,first_name,last_name,email,gender,age,marital_status,department,job_role,education_field,education_level,business_travel,distance_from_home,hire_date,termination_date,employment_status,salary,salary_hike_percent,performance_rating,previous_employers,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,stock_option_level,overtime,training_times_last_year,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,job_involvement,attrition,salary_band,age_band
23,Alexandria,Blake,employee23@company.com,Female,50,Single,Operations,Logistics Executive,Other,PhD,Non-Travel,18,2017-04-14,,Active,101012.92,9.72,4,1,9.2,2,1,3,3,Yes,5,2,1,4,4,3,No,100K+,45-54
24,James,Frank,employee24@company.com,Male,48,Married,IT,Network Administrator,Human Resources,Bachelor's,Travel_Frequently,25,2022-02-12,,Active,77028.78,12.97,5,4,4.4,6,6,6,1,No,1,3,4,4,1,4,No,60-80K,45-54
25,Chad,Friedman,employee25@company.com,Female,30,Divorced,Human Resources,HR Coordinator,Human Resources,Bachelor's,Travel_Rarely,38,2025-03-20,,Active,75834.26,14.98,1,6,1.3,2,6,7,1,Yes,2,4,3,2,4,3,No,60-80K,25-34
26,Jasmine,Durham,employee26@company.com,Female,38,Single,Human Resources,HR Coordinator,Technical Degree,Bachelor's,Travel_Frequently,35,2018-02-27,,Active,92063.84,3.2,5,3,8.4,1,6,0,0,Yes,1,1,2,2,2,4,No,80-100K,35-44
27,Melissa,Kennedy,employee27@company.com,Male,51,Divorced,Marketing,Marketing Associate,Marketing,PhD,Non-Travel,39,2018-12-12,,Active,83535.1,15.97,4,1,7.6,2,2,1,0,No,4,4,4,2,1,2,No,80-100K,45-54
28,Andrew,Banks,employee28@company.com,Male,58,Single,Sales,Sales Manager,Marketing,High School,Travel_Frequently,24,2018-01-05,,Active,112035.47,3.59,4,0,8.5,6,6,7,0,No,2,4,2,4,2,3,No,100K+,55+
29,Diane,Grant,employee29@company.com,Female,42,Single,IT,Network Administrator,Life Sciences,PhD,Travel_Rarely,16,2017-01-20,,Active,84590.42,19.26,3,6,9.5,5,0,7,2,Yes,3,2,3,3,3,3,No,80-100K,35-44
30,Joseph,Coleman,employee30@company.com,Male,27,Single,IT,IT Manager,Other,High School,Travel_Rarely,36,2018-08-24,,Active,77224.59,19.44,4,7,7.9,7,6,0,0,No,1,4,2,3,3,4,No,60-80K,25-34
31,Brittney,Coleman,employee31@company.com,Female,44,Divorced,IT,IT Manager,Technical Degree,PhD,Travel_Rarely,17,2018-09-26,,Active,86174.4,7.3,4,5,7.8,1,5,8,1,Yes,1,4,3,3,1,2,No,80-100K,35-44
32,Derek,Meza,employee32@company.com,Female,22,Divorced,Human Resources,HR Manager,Human Resources,Master's,Travel_Rarely,3,2024-06-15,,Active,105384.17,24.41,3,2,2.1,7,0,0,2,No,3,4,3,2,1,3,No,100K+,<25
33,Christopher,Garrett,employee33@company.com,Male,47,Married,Operations,Logistics Executive,Life Sciences,Bachelor's,Non-Travel,10,2024-10-16,2025-03-11,Terminated,97397.54,20.66,5,1,1.7,3,0,8,3,Yes,6,4,4,4,3,4,Yes,80-100K,45-54
34,Kelly,Green,employee34@company.com,Male,35,Divorced,Human Resources,HR Executive,Medical,PhD,Travel_Frequently,6,2023-04-28,,Active,72134.34,5.61,2,1,3.2,2,0,6,3,No,2,1,2,3,3,4,No,60-80K,25-34
35,Jennifer,Smith,employee35@company.com,Male,49,Single,Sales,Sales Representative,Human Resources,Master's,Travel_Frequently,10,2024-02-03,,Active,111538.17,22.89,4,1,2.4,0,1,4,2,No,0,4,3,4,3,4,No,100K+,45-54
36,Tracie,Douglas,employee36@company.com,Female,42,Divorced,Finance,Accountant,Marketing,Bachelor's,Non-Travel,15,2016-07-21,,Active,75287.35,24.12,4,0,10.0,4,4,0,1,No,4,4,3,2,4,4,No,60-80K,35-44
37,Jillian,Gilbert,employee37@company.com,Female,42,Divorced,Sales,Account Executive,Life Sciences,Master's,Travel_Rarely,27,2023-08-02,,Active,96732.95,17.95,3,6,2.9,8,0,7,0,No,2,3,1,4,1,4,No,80-100K,35-44
38,Ryan,Clark,employee38@company.com,Female,61,Married,Finance,Accountant,Other,High School,Non-Travel,14,2025-01-24,,Active,79404.95,8.14,2,4,1.4,7,5,7,0,Yes,5,2,2,3,1,4,No,60-80K,55+
39,Kaitlin,Bernard,employee39@company.com,Male,51,Single,Sales,Sales Representative,Other,Master's,Travel_Rarely,46,2017-06-06,,Active,80877.21,8.71,4,6,9.1,7,3,3,3,Yes,3,2,2,1,3,4,No,80-100K,45-54
40,Edward,Rodriguez,employee40@company.com,Female,41,Divorced,Human Resources,Recruiter,Human Resources,High School,Non-Travel,29,2020-07-19,,Active,95752.92,14.39,3,6,6.0,7,2,3,1,No,1,4,1,3,4,4,No,80-100K,35-44
41,Deborah,Jones,employee41@company.com,Male,30,Divorced,Finance,Financial Analyst,Human Resources,PhD,Non-Travel,29,2017-06-26,,Active,95077.0,4.29,5,0,9.0,2,3,2,0,No,6,3,3,4,1,3,No,80-100K,25-34
42,Leslie,Clark,employee42@company.com,Female,56,Single,Operations,Logistics Executive,Human Resources,Bachelor's,Non-Travel,41,2020-08-04,,Active,107370.52,17.74,3,3,5.9,1,3,1,0,No,1,3,1,1,3,1,No,100K+,55+
43,Theodore,Crawford,employee43@company.com,Male,37,Divorced,Human Resources,Recruiter,Technical Degree,Master's,Non-Travel,12,2023-06-26,,Active,87865.28,3.82,4,3,3.0,7,4,2,1,No,5,3,4,3,1,4,No,80-100K,35-44
44,Marie,Pratt,employee44@company.com,Female,59,Married,Human Resources,HR Manager,Other,High School,Travel_Frequently,17,2017-05-01,2024-06-06,Terminated,102683.44,12.51,3,6,9.2,7,0,3,3,No,4,3,3,1,4,3,Yes,100K+,55+
45,Jason,Prince,employee45@company.com,Female,40,Single,Sales,Sales Executive,Human Resources,PhD,Non-Travel,41,2024-11-12,,Active,69822.17,6.37,3,2,1.6,1,5,0,2,No,0,3,2,1,3,3,No,60-80K,35-44
46,Vanessa,Johnson,employee46@company.com,Male,56,Married,Marketing,SEO Specialist,Human Resources,PhD,Non-Travel,17,2024-09-21,,Active,94002.34,23.02,5,4,1.8,5,6,1,3,Yes,1,2,4,3,1,4,No,80-100K,55+
47,Tracie,Maynard,employee47@company.com,Female,45,Divorced,Sales,Sales Manager,Other,PhD,Travel_Frequently,25,2023-06-19,,Active,89090.42,20.92,5,1,3.0,3,3,0,2,Yes,5,1,4,3,4,1,No,80-100K,35-44
48,Eric,White,employee48@company.com,Female,53,Single,Research & Development,Scientist,Life Sciences,Master's,Travel_Frequently,9,2018-05-30,,Active,118256.83,10.94,3,6,8.1,2,3,1,3,No,2,1,3,2,4,4,No,100K+,45-54
49,Michael,Trevino,employee49@company.com,Female,56,Divorced,Research & Development,Lab Technician,Marketing,Bachelor's,Travel_Rarely,18,2018-01-13,2023-02-10,Terminated,109954.27,6.37,2,7,8.5,1,5,3,0,Yes,6,3,2,2,2,1,Yes,100K+,55+
50,James,Miller,employee50@company.com,Male,43,Single,Operations,Operations Manager,Human Resources,Bachelor's,Travel_Rarely,10,2023-03-06,,Active,67954.4,24.71,3,2,3.3,1,5,0,1,Yes,2,2,3,1,2,3,No,60-80K,35-44
51,Rebecca,Martin,employee51@company.com,Male,26,Married,Sales,Sales Representative,Technical Degree,PhD,Travel_Frequently,38,2017-09-22,,Active,85661.26,4.51,3,0,8.8,8,2,7,0,Yes,3,4,4,1,4,4,No,80-100K,25-34
52,Lisa,Owens,employee52@company.com,Male,26,Single,Sales,Sales Executive,Marketing,PhD,Travel_Rarely,39,2022-09-18,,Active,75023.77,14.2,3,6,3.8,1,6,1,1,No,3,2,4,3,4,4,No,60-80K,25-34
53,Robert,Jefferson,employee53@company.com,Female,38,Married,Finance,Accountant,Medical,High School,Non-Travel,6,2021-06-04,,Active,80246.17,21.13,2,1,5.1,5,6,2,0,No,5,1,4,3,4,1,No,80-100K,35-44
54,Ian,Wells,employee54@company.com,Male,31,Divorced,Human Resources,Recruiter,Technical Degree,Master's,Non-Travel,23,2018-02-19,,Active,93975.14,21.44,3,4,8.4,3,6,6,0,No,0,2,3,3,3,3,No,80-100K,25-34
55,Phillip,Gonzalez,employee55@company.com,Female,26,Single,Sales,Sales Representative,Other,Bachelor's,Non-Travel,48,2020-12-25,,Active,96264.99,14.2,3,7,5.5,5,1,5,2,No,6,1,1,2,2,1,No,80-100K,25-34
56,Stephanie,Grimes,employee56@company.com,Female,53,Divorced,Marketing,Marketing Associate,Technical Degree,High School,Travel_Rarely,14,2018-04-22,,Active,116369.2,19.36,2,6,8.2,1,2,7,2,Yes,1,4,1,1,2,3,No,100K+,45-54
57,Kyle,Osborne,employee57@company.com,Female,42,Single,Research & Development,Research Director,Life Sciences,High School,Travel_Frequently,28,2024-12-28,,Active,81011.74,6.04,3,3,1.5,8,4,5,0,No,6,1,4,1,4,1,No,80-100K,35-44
58,Justin,Sanchez,employee58@company.com,Female,62,Married,Operations,Supply Chain Coordinator,Marketing,Bachelor's,Travel_Rarely,2,2024-12-23,,Active,104961.81,24.22,2,7,1.5,5,0,6,0,Yes,3,4,1,4,3,3,No,100K+,55+
59,Adam,Tran,employee59@company.com,Male,54,Divorced,Research & Development,Lab Technician,Life Sciences,Master's,Travel_Rarely,23,2017-12-16,,Active,108168.95,18.73,4,2,8.6,3,0,2,2,Yes,1,2,1,2,4,4,No,100K+,45-54
60,Sarah,Baker,employee60@company.com,Female,62,Married,Operations,Logistics Executive,Medical,High School,Non-Travel,31,2021-04-14,,Active,124233.18,12.17,3,4,5.2,0,2,8,0,No,3,4,1,1,3,3,No,100K+,55+
61,Stephanie,Vega,employee61@company.com,Female,51,Divorced,Sales,Sales Executive,Human Resources,Bachelor's,Travel_Rarely,37,2017-12-23,,Active,93612.39,16.99,3,7,8.5,8,1,0,3,Yes,6,3,1,2,1,2,No,80-100K,45-54
62,Laura,Hernandez,employee62@company.com,Male,45,Married,Marketing,SEO Specialist,Marketing,High School,Travel_Rarely,50,2018-05-27,,Active,93215.12,9.78,3,5,8.1,1,2,1,3,No,2,2,3,1,2,3,No,80-100K,35-44
63,Hannah,Weber,employee63@company.com,Male,41,Divorced,Human Resources,HR Coordinator,Technical Degree,PhD,Non-Travel,43,2018-05-09,2023-07-30,Terminated,76204.98,18.17,5,1,8.2,6,4,5,0,No,2,2,2,3,4,2,Yes,60-80K,35-44
64,Elizabeth,Wong,employee64@company.com,Female,28,Divorced,Research & Development,Research Director,Human Resources,Bachelor's,Travel_Frequently,22,2024-07-10,2026-02-06,Terminated,64456.9,22.16,4,6,2.0,2,1,2,1,No,0,4,3,2,4,3,Yes,60-80K,25-34
65,Shelly,Martinez,employee65@company.com,Male,41,Married,Operations,Logistics Executive,Medical,PhD,Travel_Frequently,37,2022-09-29,,Active,104987.89,24.64,3,4,3.8,6,4,8,3,Yes,6,2,2,3,1,4,No,100K+,35-44
66,Charles,Love,employee66@company.com,Male,55,Single,Operations,Supply Chain Coordinator,Marketing,Bachelor's,Non-Travel,18,2025-02-11,,Active,124343.6,12.33,3,6,1.4,1,1,7,2,Yes,3,1,4,3,2,4,No,100K+,45-54
67,Bradley,Edwards,employee67@company.com,Female,28,Divorced,Sales,Sales Manager,Other,PhD,Non-Travel,9,2022-02-01,,Active,81319.85,2.88,5,7,4.4,2,6,7,3,Yes,0,1,3,2,2,4,No,80-100K,25-34
68,Andre,Johnson,employee68@company.com,Male,25,Single,Sales,Sales Manager,Technical Degree,High School,Non-Travel,8,2017-06-11,,Active,95052.99,21.24,3,0,9.1,8,4,3,1,No,3,1,3,2,4,2,No,80-100K,<25
69,Anthony,Perez,employee69@company.com,Female,26,Divorced,Marketing,Marketing Associate,Human Resources,Bachelor's,Travel_Rarely,31,2020-04-08,,Active,86224.54,3.0,3,5,6.2,4,5,0,2,Yes,2,2,1,3,2,1,No,80-100K,25-34
70,Pamela,George,employee70@company.com,Male,51,Divorced,Human Resources,Recruiter,Technical Degree,Master's,Non-Travel,5,2025-06-22,,Active,91123.2,18.47,5,0,1.0,4,1,0,1,Yes,2,3,4,4,3,1,No,80-100K,45-54
71,Jessica,Crawford,employee71@company.com,Male,43,Married,Operations,Operations Manager,Life Sciences,PhD,Travel_Rarely,26,2017-01-16,,Active,99820.93,19.1,4,6,9.5,5,1,7,3,No,6,3,1,4,1,4,No,80-100K,35-44
72,Jennifer,Davis,employee72@company.com,Female,28,Single,IT,System Analyst,Marketing,PhD,Travel_Rarely,29,2017-04-03,,Active,105470.55,15.86,3,7,9.3,5,3,0,2,No,2,1,1,4,3,2,No,100K+,25-34
73,Angela,Pena,employee73@company.com,Female,24,Single,Sales,Sales Representative,Life Sciences,Master's,Travel_Frequently,24,2020-05-28,,Active,78662.61,10.33,5,0,6.1,2,5,7,2,No,3,1,2,3,4,3,No,60-80K,<25
74,Bradley,Mosley,employee74@company.com,Male,23,Divorced,Marketing,Content Writer,Medical,High School,Travel_Frequently,25,2021-11-30,,Active,101869.65,23.01,2,4,4.6,7,1,4,3,Yes,0,2,1,4,2,4,No,100K+,<25
75,Tammy,Rowe,employee75@company.com,Male,57,Divorced,Sales,Sales Manager,Marketing,PhD,Non-Travel,46,2022-03-26,,Active,66303.82,18.32,4,2,4.3,5,4,3,0,Yes,6,2,2,4,1,3,No,60-80K,55+
76,Angela,Figueroa,employee76@company.com,Male,61,Single,IT,IT Manager,Life Sciences,PhD,Travel_Rarely,46,2023-12-27,,Active,121128.54,18.53,3,6,2.5,1,1,5,0,No,3,3,2,2,2,4,No,100K+,55+
77,Julian,Waters,employee77@company.com,Male,41,Single,IT,Software Engineer,Medical,PhD,Travel_Frequently,15,2017-11-13,,Active,94105.71,9.96,5,4,8.6,1,2,3,2,Yes,5,3,1,2,2,2,No,80-100K,35-44
78,Michele,Larson,employee78@company.com,Male,23,Single,Marketing,Content Writer,Life Sciences,PhD,Travel_Frequently,14,2018-03-14,,Active,73914.89,19.64,3,0,8.3,7,5,8,2,No,3,2,4,3,4,1,No,60-80K,<25
79,Jill,Gonzalez,employee79@company.com,Female,52,Married,Marketing,Marketing Associate,Medical,PhD,Travel_Frequently,10,2024-07-02,2025-10-10,Terminated,102976.41,9.19,4,5,2.0,6,1,5,0,No,1,4,1,3,4,2,Yes,100K+,45-54
80,Alexis,Robinson,employee80@company.com,Female,61,Married,Research & Development,Scientist,Medical,Master's,Travel_Rarely,37,2023-06-13,2024-11-29,Terminated,78986.47,18.59,2,2,3.1,7,4,7,3,No,3,1,1,4,4,2,Yes,60-80K,55+
81,Micheal,Deleon,employee81@company.com,Female,53,Divorced,Research & Development,Lab Technician,Other,High School,Travel_Rarely,35,2017-05-13,2020-09-10,Terminated,99104.92,2.19,2,2,9.2,4,5,5,3,No,0,4,1,2,3,3,Yes,80-100K,45-54
82,Michael,Cooper,employee82@company.com,Female,61,Divorced,Sales,Account Executive,Human Resources,Bachelor's,Non-Travel,7,2023-06-22,,Active,114156.69,11.06,4,5,3.0,8,2,2,1,No,4,1,1,1,2,3,No,100K+,55+
83,Kristin,Martinez,employee83@company.com,Male,60,Divorced,Operations,Logistics Executive,Medical,PhD,Travel_Frequently,21,2022-12-09,,Active,130168.41,5.74,5,4,3.6,5,4,8,3,No,3,1,3,3,1,4,No,100K+,55+
84,Matthew,Rivera,employee84@company.com,Male,60,Married,IT,IT Manager,Marketing,Master's,Travel_Frequently,4,2021-09-29,,Active,100225.95,15.42,2,6,4.8,2,6,3,0,Yes,1,1,4,3,4,2,No,100K+,55+
85,William,Perry,employee85@company.com,Female,25,Divorced,Finance,Financial Analyst,Medical,Master's,Travel_Frequently,21,2019-06-01,,Active,67872.6,24.96,3,6,7.1,5,1,7,2,No,5,3,4,2,2,3,No,60-80K,<25
86,Don,Becker,employee86@company.com,Female,40,Divorced,IT,IT Manager,Medical,High School,Travel_Rarely,31,2021-12-22,,Active,84473.64,10.02,5,4,4.5,4,0,8,3,No,6,3,2,3,1,3,No,80-100K,35-44
87,Aimee,Bright,employee87@company.com,Female,38,Divorced,Marketing,Marketing Associate,Technical Degree,Master's,Non-Travel,35,2019-12-17,,Active,104131.03,8.24,3,4,6.6,2,0,3,1,Yes,5,2,2,1,1,4,No,100K+,35-44
88,Emily,Nichols,employee88@company.com,Male,22,Divorced,Human Resources,HR Coordinator,Medical,High School,Travel_Frequently,31,2017-11-11,2023-08-03,Terminated,82531.27,12.98,2,4,8.7,5,2,0,0,Yes,4,1,2,4,2,1,Yes,80-100K,<25
89,Nathaniel,Morris,employee89@company.com,Male,40,Single,Operations,Logistics Executive,Life Sciences,PhD,Travel_Frequently,39,2022-04-05,,Active,84053.6,4.47,5,4,4.3,7,5,8,3,Yes,6,4,3,2,1,3,No,80-100K,35-44
90,James,Smith,employee90@company.com,Male,22,Divorced,Research & Development,R&D Manager,Marketing,PhD,Travel_Frequently,44,2018-07-12,,Active,85299.01,19.42,2,6,8.0,6,4,5,0,No,5,1,2,2,4,3,No,80-100K,<25
91,Jessica,Peterson,employee91@company.com,Male,50,Married,Research & Development,Scientist,Marketing,PhD,Travel_Frequently,47,2021-05-22,,Active,101456.16,15.18,3,5,5.1,3,0,1,3,No,1,4,3,1,3,3,No,100K+,45-54
92,Brian,Richardson,employee92@company.com,Male,52,Single,IT,System Analyst,Technical Degree,PhD,Travel_Rarely,45,2016-07-31,,Active,116129.67,14.63,3,3,9.9,3,5,1,3,No,0,1,1,2,2,2,No,100K+,45-54
93,Laurie,Melendez,employee93@company.com,Male,59,Married,Human Resources,HR Coordinator,Life Sciences,High School,Non-Travel,30,2019-05-30,2020-04-20,Terminated,96669.2,5.03,3,0,7.1,8,3,4,0,No,2,1,2,1,1,4,Yes,80-100K,55+
94,Darren,Cuevas,employee94@company.com,Male,26,Married,Human Resources,HR Executive,Life Sciences,PhD,Travel_Rarely,12,2019-04-05,,Active,75885.07,19.69,4,6,7.3,5,3,7,3,No,0,2,3,1,2,4,No,60-80K,25-34
95,Emily,Davis,employee95@company.com,Male,22,Single,IT,System Analyst,Marketing,High School,Travel_Frequently,47,2023-07-07,,Active,71718.38,14.52,3,3,3.0,3,3,5,1,No,1,1,1,4,1,2,No,60-80K,<25
96,Haley,Norman,employee96@company.com,Male,50,Divorced,Research & Development,Scientist,Other,Bachelor's,Non-Travel,48,2019-01-16,2026-05-18,Terminated,78047.28,3.02,3,3,7.5,0,1,8,2,Yes,6,3,3,2,3,2,Yes,60-80K,45-54
97,Charles,Estes,employee97@company.com,Female,25,Divorced,Marketing,Marketing Manager,Human Resources,Master's,Travel_Frequently,44,2020-01-16,,Active,84441.8,11.83,3,5,6.5,6,6,8,2,No,3,2,3,4,2,4,No,80-100K,<25
98,Marie,Cruz,employee98@company.com,Male,51,Single,Research & Development,Research Director,Human Resources,High School,Travel_Rarely,36,2021-08-05,,Active,104715.83,14.19,3,4,4.9,3,2,1,3,No,0,2,1,3,4,1,No,100K+,45-54
99,Carol,Stanley,employee99@company.com,Male,52,Single,Operations,Operations Analyst,Marketing,PhD,Non-Travel,14,2025-02-18,,Active,101676.7,23.55,5,1,1.4,7,1,3,3,Yes,4,3,3,4,4,3,No,100K+,45-54
100,Christopher,Henderson,employee100@company.com,Female,51,Single,Human Resources,Recruiter,Other,High School,Travel_Rarely,14,2024-02-17,,Active,97281.19,10.53,3,3,2.4,2,0,4,3,No,1,2,3,2,4,2,No,80-100K,45-54
101,Thomas,Larson,employee101@company.com,Female,53,Married,Finance,Finance Manager,Medical,PhD,Non-Travel,9,2022-06-10,,Active,81169.44,18.57,3,0,4.1,8,0,1,0,Yes,3,2,2,1,2,1,No,80-100K,45-54
102,Mark,Anthony,employee102@company.com,Female,53,Single,Research & Development,R&D Manager,Life Sciences,High School,Non-Travel,2,2023-12-15,,Active,96090.32,14.18,3,4,2.6,0,4,6,1,Yes,0,2,2,2,3,3,No,80-100K,45-54
103,Kevin,Chaney,employee103@company.com,Female,51,Divorced,Human Resources,HR Coordinator,Medical,Master's,Travel_Rarely,44,2016-10-14,2020-08-28,Terminated,95659.28,21.05,2,0,9.7,1,3,6,3,No,0,1,2,1,4,4,Yes,80-100K,45-54
104,Frank,Khan,employee104@company.com,Male,55,Single,Marketing,Content Writer,Medical,Master's,Travel_Frequently,37,2017-05-31,,Active,91965.84,12.94,1,1,9.1,4,4,0,1,No,0,2,2,4,1,3,No,80-100K,45-54
105,Gabriel,Spence,employee105@company.com,Female,56,Married,Research & Development,Research Director,Technical Degree,Master's,Travel_Frequently,47,2020-05-17,,Active,102380.71,3.8,4,5,6.1,0,0,6,1,Yes,2,4,3,1,3,4,No,100K+,55+
106,Teresa,Martinez,employee106@company.com,Female,49,Single,Finance,Financial Analyst,Other,High School,Non-Travel,50,2023-06-03,,Active,105260.76,16.23,4,1,3.1,1,2,2,3,Yes,5,4,3,3,1,1,No,100K+,45-54
107,Lynn,West,employee107@company.com,Female,28,Single,Sales,Sales Manager,Life Sciences,Master's,Travel_Rarely,29,2018-05-16,,Active,110692.79,14.81,3,1,8.1,0,0,5,0,No,6,4,1,3,4,4,No,100K+,25-34
108,Kimberly,Evans,employee108@company.com,Male,58,Divorced,Operations,Operations Analyst,Medical,High School,Non-Travel,9,2016-08-10,,Active,109018.67,8.19,3,2,9.9,1,1,6,2,No,2,4,1,3,3,2,No,100K+,55+
109,Margaret,White,employee109@company.com,Male,51,Single,Marketing,SEO Specialist,Medical,PhD,Non-Travel,26,2018-09-14,,Active,104663.26,9.64,4,5,7.8,7,2,6,1,No,2,2,4,3,2,4,No,100K+,45-54
110,Kyle,Frank,employee110@company.com,Female,58,Single,Human Resources,Recruiter,Marketing,High School,Travel_Rarely,26,2020-04-20,,Active,105283.31,10.4,5,3,6.2,8,1,8,0,No,5,2,4,3,1,4,No,100K+,55+
111,David,Mccormick,employee111@company.com,Female,37,Married,Marketing,SEO Specialist,Other,Master's,Travel_Frequently,28,2024-09-26,2025-09-05,Terminated,60818.43,20.15,2,7,1.8,6,4,8,3,Yes,6,3,1,1,2,3,Yes,60-80K,35-44
